ID,CAS # ,SMILES ,Chemical Name,Abrrev. name (Unique concatenate),LogBMF,Scientific Name (Unique concatenate),Common Name (Unique concatenate),BMF (Arnot&Quinn),no. Records,Standard error
104,39227-28-6,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,"1,2,3,4,7,8-H6CDD",--,-0.02,"Salmo gairdneri, Pimephales promelas","Rainbow trout, Fathead minnow","L, L",2,0.45
105,39227-61-7,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,"1,2,3,4,7-P5CDD",--,-1.09,"Salmo gairdneri, Pimephales promelas","Rainbow trout, Fathead minnow","L, L",2,0.01
106,40458-98-8,CC(C)c1ccc2ccc(C(C)C)cc2c1,"2,7-Diisopropyl naphthalene",--,-1.44,Oncorhynchus mykiss,Rainbow trout,"H, H",2,0.01
107,41411-64-7,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,"2,3,3',4,4',5,6-Heptachlorobiphenyl",PCB 190,0.89,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
108,41464-49-7,Clc1cc(Cl)cc(-c2cccc(Cl)c2Cl)c1,"2,3,3',5'-Tetrachlorobiphenyl",PCB 58,0.14,"Gasterosteus aculeatus, Danio rerio","Three-spined stickleback, Zebrafish","M, L",2,0.34
109,41464-51-1,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,"2,2',3',4,5-Pentachlorobiphenyl",PCB 97,0.84,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.35
110,4175-54-6,CC1CCC(C)c2ccccc21,"1,2,3,4-Tetrahydro-1,4-Dimethyl naphthalene (1,4-Dimethyl Tetralin)",--,-0.80,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
111,4292-75-5,CCCCCCC1CCCCC1,n-hexyl cyclohexane,--,-1.38,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
112,43121-43-3,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,Triadimefon,--,-1.92,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
113,4316-65-8,C=CC(C)CC(C)(C)C,"3,5,5' Trimethyl hexene",--,-1.20,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
114,438-22-2,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CCCC[C@]3(C)[C@H]1CC2,5-alpha-androstane,--,-0.17,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
115,4390-04-9,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,"2,2,4,4,6,8,8-heptamethyl nonane",--,0.00,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
116,45187-15-3,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorobutane sulfonate,PFBS,-1.70,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
117,475-03-6,Cc1ccc2c(c1)CCCC2(C)C,"1,1,6 Trimethyl Tetralin",--,-0.48,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
118,488-23-3,Cc1ccc(C)c(C)c1C,"1,2,3,4 Tetramethyl benzene",--,-1.29,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
119,4920-95-0,Cc1ccc(-c2ccc(C)c(C)c2)cc1C,"3,3',4,4' Tetramethyl 1,1'-biphenyl",--,-2.05,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
120,496-10-6,C1CCC2CCCC2C1,Bicyclo[4.3.0]nonane,--,-1.10,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
121,50-32-8,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,Benzo[a]pyrene,--,-1.52,Oncorhynchus mykiss,Rainbow trout,"L, L, L, L, L, H, H",7,0.02
122,50563-36-5,COCCN(C(=O)CCl)c1c(C)cccc1C,Dimethachlor,--,-4.46,"Perca fluviatilis, Cyprinus carpio","Perch, Common carp","L, L",2,0.00
123,50876-32-9,CC1CC(C)CC(C)(C)C1,"cis 1,1,3,5 Tetramethyl cyclohexane",--,-0.27,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
